url,file,volume,issue,year,week,date_start,date_end,language
https://www.epid.gov.lk/storage/post/pdfs/en_676a4a657c59e_Vol_51_no_44-english.pdf,en_676a4a657c59e_Vol_51_no_44-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_67528d453491c_Vol_51_no_43-english.pdf,en_67528d453491c_Vol_51_no_43-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_6750164772a63_Vol_51_no_42-english.pdf,en_6750164772a63_Vol_51_no_42-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_674dd927c23f5_Vol_51_no_41-english.pdf,en_674dd927c23f5_Vol_51_no_41-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_674c6cd3a3abf_Vol_51_no_40-english.pdf,en_674c6cd3a3abf_Vol_51_no_40-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_673db818c5fc5_Vol_51_no_39-english.pdf,en_673db818c5fc5_Vol_51_no_39-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_672854d74d85a_Vol_51_no_38-english.pdf,en_672854d74d85a_Vol_51_no_38-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_6720aaaf8a140_Vol_51_no_37-english.pdf,en_6720aaaf8a140_Vol_51_no_37-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66ff7279f1888_Vol_51_no_36-english.pdf,en_66ff7279f1888_Vol_51_no_36-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66fbbb2d086ab_Vol_51_no_35-english.pdf,en_66fbbb2d086ab_Vol_51_no_35-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66eb1c6a4410b_Vol_51_no_34-english.pdf,en_66eb1c6a4410b_Vol_51_no_34-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66e6d55fd7f20_Vol_51_no_33-english.pdf,en_66e6d55fd7f20_Vol_51_no_33-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66e0a3fb5dada_Vol_51_no_32-english.pdf,en_66e0a3fb5dada_Vol_51_no_32-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66d6b1a9a27ff_Vol_51_no_31-english.pdf,en_66d6b1a9a27ff_Vol_51_no_31-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66bf09b97f5a9_Vol_51_no_30-english.pdf,en_66bf09b97f5a9_Vol_51_no_30-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66b1cf8a4ad9f_Vol_51_no_29-english.pdf,en_66b1cf8a4ad9f_Vol_51_no_29-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66ac5da0ebd2d_Vol_51_no_28-english.pdf,en_66ac5da0ebd2d_Vol_51_no_28-english.pdf,,,,,,,English
